reportDate	color	count
2016-03-30	2600_red	203
2016-03-30	1200_green	8656
2016-03-30	1600_blue	3951
2016-03-30	2100_orange	545
2016-03-30	1400_cyan	8138
2016-03-30	0000_gray	2968
2016-06-30	total	24055
2016-06-30	1900_violet	1340
2016-06-30	2600_red	215
2016-06-30	1200_green	8595
2016-06-30	1600_blue	3528
2016-06-30	2100_orange	511
2016-06-30	1400_cyan	6853
2016-06-30	0000_gray	3013
2016-09-30	total	25659
2016-09-30	1900_violet	1539
2016-09-30	2600_red	192
2016-09-30	1200_green	9255
2016-09-30	1600_blue	3605
2016-09-30	2100_orange	514
2016-09-30	1400_cyan	7316
2016-09-30	0000_gray	3238
2016-12-30	total	31613
2016-12-30	1900_violet	1768
2016-12-30	2600_red	230
2016-12-30	1200_green	11811
2016-12-30	1600_blue	4135
2016-12-30	2100_orange	609
2016-12-30	1400_cyan	9179
2016-12-30	0000_gray	3881
2017-03-30	total	33470
2017-03-30	1900_violet	1813
2017-03-30	2600_red	266
2017-03-30	1200_green	12710
2017-03-30	1600_blue	4316
2017-03-30	2100_orange	681
2017-03-30	1400_cyan	9260
2017-03-30	0000_gray	4424
2017-06-30	total	28965
2017-06-30	1900_violet	1651
2017-06-30	2600_red	261
2017-06-30	1200_green	10602
2017-06-30	1600_blue	3893
2017-06-30	2100_orange	640
2017-06-30	1400_cyan	7796
2017-06-30	0000_gray	4122
2017-09-30	total	29865
2017-09-30	1900_violet	1636
2017-09-30	2600_red	271
2017-09-30	1200_green	10779
2017-09-30	1600_blue	4003
2017-09-30	2100_orange	669
2017-09-30	1400_cyan	8448
2017-09-30	0000_gray	4059
2017-12-30	total	35571
2017-12-30	1900_violet	1799
2017-12-30	2600_red	258
2017-12-30	1200_green	13291
2017-12-30	1600_blue	4447
2017-12-30	2100_orange	668
2017-12-30	1400_cyan	10278
2017-12-30	0000_gray	4830
2018-03-30	total	38140
2018-03-30	1900_violet	2082
2018-03-30	2600_red	265
2018-03-30	1200_green	14355
2018-03-30	1600_blue	4781
2018-03-30	2100_orange	701
2018-03-30	1400_cyan	10297
2018-03-30	0000_gray	5659
2018-06-30	total	41053
2018-06-30	1900_violet	1992
2018-06-30	2600_red	283
2018-06-30	1200_green	15579
2018-06-30	1600_blue	5345
2018-06-30	2100_orange	946
2018-06-30	1400_cyan	10058
2018-06-30	0000_gray	6850
2018-09-30	total	45562
2018-09-30	1900_violet	1842
2018-09-30	2600_red	303
